age,gender,frequent_flyer,flight_distance,departure_delay,arrival_delay,seat_comfort,in_flight_entertainment,food_service,onboard_service,baggage_handling,checkin_ease,wifi_connectivity,satisfaction
45,Male,Yes,2036.0,9.0,2.0,5,3,4,2,4,3,1,4
29,Male,No,3440.0,21.0,11.0,3,2,5,4,4,1,3,3
38,Male,No,537.0,4.0,19.0,5,2,4,2,2,5,3,3
30,Male,Yes,558.0,1.0,6.0,2,3,3,2,1,4,5,2
63,Female,No,2580.0,13.0,9.0,4,3,1,3,3,4,3,3
23,Female,No,2005.0,1.0,6.0,4,3,1,3,5,3,1,2
48,Male,No,694.0,9.0,35.0,3,1,4,2,4,4,5,1
31,Female,No,531.0,17.0,6.0,2,4,1,4,5,2,3,2
54,Female,Yes,372.0,7.0,8.0,2,2,4,2,3,3,1,1
33,Female,No,633.0,2.0,9.0,3,1,3,2,2,3,1,1
45,Female,No,358.0,5.0,16.0,4,5,2,4,3,4,1,3
41,Female,No,416.0,2.0,17.0,5,5,3,3,3,4,1,4
28,Male,Yes,393.0,39.0,58.0,3,3,5,4,4,4,1,1
60,Female,No,2056.0,11.0,3.0,1,2,1,3,2,4,1,1
58,Male,No,2299.0,2.0,0.0,2,2,3,1,3,2,4,1
43,Female,No,434.0,1.0,23.0,5,2,3,3,4,5,1,5
37,Female,Yes,3071.0,2.0,17.0,2,4,2,2,4,4,2,2
35,Male,Yes,3103.0,28.0,3.0,2,5,4,4,5,3,4,5
31,Female,No,513.0,3.0,19.0,4,3,4,1,4,3,2,1
33,Male,No,2586.0,20.0,28.0,2,4,4,2,3,4,3,2
31,Female,Yes,3624.0,5.0,7.0,5,3,2,3,2,5,4,3
36,Male,Yes,604.0,6.0,6.0,5,3,4,5,3,3,4,5
24,Male,Yes,494.0,14.0,4.0,4,4,5,3,3,5,1,4
60,Female,No,2937.0,25.0,31.0,1,1,5,1,4,3,2,1
35,Male,No,738.0,23.0,11.0,2,4,2,3,3,5,2,2
27,Female,No,321.0,20.0,1.0,3,3,3,3,4,4,1,1
26,Female,No,710.0,3.0,1.0,3,3,5,3,4,3,1,4
31,Female,No,2156.0,6.0,6.0,3,3,1,3,5,4,4,2
36,Female,Yes,2247.0,12.0,28.0,2,1,2,2,5,4,4,2
45,Male,Yes,438.0,11.0,9.0,3,2,1,4,4,4,4,4
24,Female,No,315.0,9.0,5.0,4,4,3,4,2,3,2,3
44,Female,Yes,410.0,8.0,10.0,3,4,3,5,2,5,3,4
44,Male,No,759.0,5.0,0.0,4,4,1,2,3,4,1,2
35,Female,No,726.0,0.0,6.0,1,2,3,3,5,3,3,2
31,Female,No,500.0,17.0,10.0,3,2,5,2,5,3,3,2
33,Female,Yes,2092.0,6.0,7.0,3,3,1,1,3,4,1,2
32,Female,Yes,669.0,13.0,2.0,5,2,3,1,5,3,1,2
19,Female,No,107.0,6.0,4.0,1,2,2,4,3,3,4,2
33,Female,No,2273.0,6.0,32.0,2,1,5,3,3,4,3,2
42,Male,Yes,312.0,5.0,2.0,3,4,3,4,4,3,3,4
32,Male,No,2225.0,66.0,23.0,4,3,2,2,3,2,3,1
53,Female,Yes,575.0,11.0,7.0,1,1,4,3,2,2,2,2
28,Male,Yes,491.0,17.0,6.0,4,4,4,2,5,3,3,2
31,Male,No,2001.0,4.0,9.0,5,5,4,4,4,2,5,5
37,Male,No,650.0,3.0,1.0,2,1,4,1,5,4,4,1
20,Female,No,431.0,9.0,10.0,4,5,3,4,4,3,3,4
41,Male,Yes,1932.0,1.0,10.0,3,1,3,2,4,4,2,2
46,Male,Yes,2621.0,41.0,14.0,1,1,4,2,3,2,5,1
55,Male,No,3009.0,2.0,7.0,4,4,3,4,3,2,5,4
29,Male,No,636.0,12.0,39.0,3,2,3,2,3,2,3,1
33,Female,No,2184.0,2.0,3.0,3,4,3,4,4,5,1,3
57,Female,Yes,2798.0,44.0,1.0,3,3,3,2,2,3,1,1
34,Male,No,2411.0,53.0,14.0,5,2,5,3,5,5,1,4
21,Female,Yes,711.0,7.0,19.0,1,2,2,2,5,3,3,1
56,Male,Yes,2505.0,1.0,12.0,3,3,3,4,2,4,1,2
60,Female,No,325.0,19.0,5.0,2,3,3,3,1,5,2,1
50,Male,Yes,910.0,4.0,6.0,4,3,1,3,4,3,1,2
40,Male,Yes,2525.0,2.0,30.0,5,5,4,4,3,5,3,5
42,Male,No,2619.0,5.0,8.0,3,3,5,4,3,4,4,4
30,Female,No,312.0,20.0,2.0,3,3,1,4,2,2,3,1
48,Male,Yes,783.0,2.0,4.0,4,3,3,3,3,5,1,5
24,Female,No,655.0,10.0,1.0,2,1,3,2,5,4,1,1
34,Male,No,599.0,1.0,3.0,3,2,4,2,5,4,1,3
24,Male,Yes,377.0,1.0,33.0,3,4,2,4,4,4,2,3
25,Female,No,410.0,8.0,8.0,3,3,5,4,1,3,2,3
31,Male,Yes,526.0,16.0,6.0,4,3,2,5,4,3,3,2
43,Male,No,100.0,13.0,7.0,2,2,4,3,3,4,2,2
60,Male,No,2841.0,15.0,0.0,4,4,3,4,2,3,3,5
34,Female,No,368.0,17.0,14.0,2,2,3,3,1,3,5,1
39,Female,No,1897.0,7.0,4.0,2,2,2,4,3,1,2,1
45,Female,No,2252.0,0.0,10.0,5,5,3,5,5,5,4,4
46,Female,Yes,387.0,6.0,13.0,1,2,4,1,4,4,3,1
42,Female,Yes,2395.0,3.0,12.0,3,3,2,2,4,5,3,2
33,Female,No,2877.0,13.0,4.0,2,2,3,3,4,2,3,1
22,Female,No,2984.0,3.0,14.0,2,2,2,5,5,4,3,1
32,Male,Yes,313.0,0.0,9.0,3,5,1,3,1,4,1,4
36,Female,Yes,859.0,8.0,7.0,2,4,4,3,4,3,2,1
43,Female,Yes,822.0,15.0,5.0,2,3,2,4,3,4,1,2
48,Female,No,3229.0,7.0,22.0,3,3,2,3,3,4,1,1
34,Female,Yes,456.0,6.0,13.0,5,4,2,5,5,5,4,5
46,Female,No,505.0,4.0,8.0,3,4,3,2,1,4,4,2
26,Male,No,671.0,1.0,22.0,4,2,3,4,3,4,4,3
25,Female,No,606.0,1.0,8.0,3,3,5,2,5,5,2,4
29,Male,No,1671.0,10.0,14.0,5,4,3,2,4,3,4,3
26,Male,No,2644.0,9.0,3.0,2,2,4,3,4,5,1,3
20,Male,No,320.0,8.0,20.0,3,2,4,4,3,4,2,1
72,Female,No,590.0,7.0,29.0,1,5,4,2,4,4,2,1
36,Female,No,609.0,1.0,4.0,5,5,3,5,4,3,3,5
45,Female,Yes,420.0,41.0,23.0,5,4,3,3,4,2,3,3
57,Female,Yes,527.0,27.0,2.0,5,3,3,5,2,2,3,4
22,Female,No,2624.0,10.0,10.0,4,4,4,4,4,2,4,5
50,Male,No,2452.0,2.0,4.0,5,5,3,5,3,2,2,5
45,Male,Yes,2391.0,12.0,0.0,4,3,3,5,1,4,1,4
26,Male,No,2152.0,2.0,30.0,2,1,4,2,5,1,3,1
40,Female,Yes,440.0,17.0,2.0,3,1,1,1,2,4,1,1
