age,gender,department,years,performance,jobsat,income,distance,attrition
39,Male,Human Resources,17,4.29885435373019,3.260215947479515,147094.0,10.0,0
29,Male,Research & Development,12,2.397523967551877,4.864563558399183,30997.0,4.8,0
50,Female,Research & Development,19,3.181772315487502,3.807474281645317,33797.0,6.1,0
33,Male,Research & Development,11,3.7746131515872356,3.2988210408878884,31203.0,11.8,0
52,Female,Sales,11,2.5054934366081056,1.481548825743183,35196.0,5.0,0
54,Male,Human Resources,12,2.778787630795946,1.6458913310522063,39201.0,9.1,0
63,Female,Research & Development,5,2.6970861473754812,3.13940172555335,100423.0,3.0,0
47,Male,Research & Development,6,3.9577671114173048,1.5785153682632826,40410.0,7.5,0
49,Male,Research & Development,14,3.2916137674879717,2.3622477680303717,30210.0,26.0,1
40,Male,Sales,7,3.2664164972384486,3.484006605386244,113614.0,17.2,0
59,Male,Sales,13,3.563179640117302,2.956995030721448,83770.0,20.6,1
42,Female,Research & Development,19,2.3668403169431596,4.2126688279781295,77855.0,8.6,0
41,Female,Research & Development,17,2.6441908796367763,3.0597833715120717,38487.0,9.5,1
53,Male,Sales,18,3.3262447920803306,3.179551795826019,71490.0,21.7,1
41,Male,Sales,2,2.279390914930317,3.4584151904177096,45083.0,2.0,0
53,Female,Research & Development,17,3.0754490223301767,2.934847038492597,43873.0,13.9,1
33,Female,Research & Development,16,2.9115216038991867,2.8213336118358243,109601.0,27.0,1
46,Male,Research & Development,9,3.373573048087755,4.589407327433148,42282.0,11.3,0
62,Female,Sales,13,2.9532562375617286,3.822231384402231,74125.0,10.1,0
40,Male,Sales,6,3.4195878444955086,4.265065840979935,33444.0,13.6,0
60,Female,Sales,5,2.4108545436023237,3.2035643504280933,84974.0,27.7,0
41,Male,Research & Development,9,3.3710922964958425,3.017131988761078,72399.0,0.5,0
57,Male,Human Resources,18,2.7644777626576587,4.7544068573183695,38327.0,21.7,1
54,Male,Sales,12,3.61203190856037,3.9447385327225932,30287.0,0.5,0
54,Male,Human Resources,11,3.148075577628041,1.3988568635341099,36084.0,2.4,0
64,Female,Research & Development,14,2.851052730805074,1.5072255167866886,52603.0,9.3,1
58,Male,Sales,11,2.582489468510157,3.1915330357840332,36087.0,3.3,0
38,Male,Human Resources,4,1.5569154889838719,4.214234160771778,34543.0,12.3,0
57,Male,Sales,16,3.1708661944263667,4.579324988006935,60438.0,3.3,0
70,Female,Sales,3,3.04348126792826,3.4440152404554203,38336.0,4.0,0
49,Female,Sales,14,3.269608444438802,5.0,33702.0,0.5,1
59,Female,Human Resources,1,3.0268127498536597,4.214144205894554,61760.0,1.1,0
42,Male,Sales,14,2.7708507679765377,3.4609159076382063,50663.0,9.1,0
48,Female,Sales,20,2.6230919192250735,5.0,77672.0,15.3,0
38,Male,Research & Development,2,2.2864548471663264,3.909399608950586,48209.0,2.6,0
44,Male,Research & Development,5,3.251946366151656,3.131055087990015,51101.0,19.1,0
46,Male,Human Resources,19,3.1304396187297305,3.147331029396037,42910.0,7.9,1
40,Female,Research & Development,2,3.543520503391085,2.3105413835248267,37875.0,5.3,0
34,Female,Sales,13,3.414805287998987,3.0327844355038875,31885.0,7.5,0
36,Male,Sales,10,3.220925618085055,3.8846066521307554,44738.0,8.1,0
39,Female,Sales,5,3.0497572052008173,3.252567914416314,75363.0,37.3,0
38,Female,Research & Development,15,2.238333446055807,4.07124815714853,57578.0,2.2,0
64,Male,Research & Development,9,2.850521610575263,1.0966714580851136,36778.0,16.8,0
58,Male,Research & Development,20,3.510161395500469,3.9875459794278774,35860.0,1.4,0
49,Male,Sales,13,2.6417049437955873,1.2700012200527244,30275.0,8.1,0
41,Male,Sales,15,3.535033803811337,1.3974651061239736,52262.0,8.1,0
47,Male,Sales,11,3.133248466647681,1.902289588084086,35676.0,2.2,1
40,Male,Research & Development,10,3.2177483540793848,1.6137110396211205,97842.0,23.4,0
32,Female,Human Resources,15,2.7935418815544404,1.2025123520386352,90697.0,0.5,0
41,Male,Sales,4,3.252837861974219,3.1993535737615213,33351.0,7.4,0
54,Female,Research & Development,15,2.783791600915804,2.8174623039605864,34064.0,0.5,0
35,Female,Research & Development,2,3.1509766767536003,3.681174916025963,30385.0,0.6,0
50,Male,Sales,3,3.9900165519704327,2.217816646797157,63388.0,19.7,0
45,Male,Research & Development,18,3.039086885324028,3.8179354339681177,44995.0,4.5,0
32,Male,Sales,9,3.154854934871524,3.686525473899372,50733.0,3.4,1
28,Female,Sales,18,3.2350011907796676,3.700350489308925,70222.0,26.3,1
38,Female,Sales,14,2.5325775698521076,3.194103889442504,32037.0,13.9,0
36,Female,Sales,6,2.8998594972471907,4.250203647242872,45844.0,3.0,0
53,Male,Research & Development,9,2.811081968480995,2.811675636348722,61750.0,8.5,0
52,Female,Research & Development,13,3.1731998660637273,1.4711759079343192,59736.0,2.2,0
40,Female,Sales,10,3.941328009579297,3.394400919277306,85528.0,42.5,1
70,Male,Sales,5,3.565198768247905,3.0172719048470316,110546.0,6.4,0
40,Male,Sales,4,3.1278191887364253,3.979134964517016,49111.0,15.8,0
57,Male,Sales,2,2.836890069597564,2.292890005593476,57888.0,14.7,0
48,Male,Sales,5,2.5951620934994226,3.4573546516461424,43687.0,1.2,0
59,Female,Research & Development,19,3.173598278062247,3.2467389636466213,40187.0,5.2,1
63,Male,Research & Development,6,3.3575194817941423,2.1008961308399408,56730.0,0.6,0
59,Male,Research & Development,18,2.868926703456797,2.638049353367477,42632.0,26.9,0
28,Male,Research & Development,6,2.966684422373261,2.0524121520043237,87823.0,8.6,0
62,Female,Research & Development,10,1.7966961314351613,3.185388328770712,39802.0,15.4,0
33,Male,Human Resources,19,2.666005781649023,3.3542625576726315,35401.0,19.4,1
43,Male,Research & Development,2,3.6035851117425604,2.7287046697835913,60684.0,2.4,0
50,Male,Sales,18,2.562722760955006,2.9403580081691376,31034.0,18.5,0
57,Male,Research & Development,12,4.069454214448003,3.6359242764465307,162163.0,18.0,0
52,Male,Sales,10,2.885895050545744,3.3802829644839165,120615.0,1.0,0
54,Male,Research & Development,16,2.0807167850515933,3.8616135899728095,48148.0,6.8,1
38,Male,Research & Development,9,2.8287310610242145,3.093145524882244,44639.0,14.7,0
