bedrooms,bathrooms,area,lot_size,floors,year_built,garage,fireplace,renovated,neighborhood,distance_city,price
1,1.0,966,9433.0,1,1968,1,0,0,1,6.56,439332.0
3,3.0,2118,3792.0,1,1929,1,1,1,1,8.92,721844.0
3,3.0,2119,6396.0,2,1976,1,1,0,0,13.23,572698.0
3,4.0,2701,3488.0,1,2020,1,0,1,1,7.59,826950.0
4,4.5,2911,2868.0,1,1912,0,1,0,1,3.86,836003.0
6,5.0,4227,4400.0,2,1992,1,1,0,1,17.46,1119802.0
3,3.0,2091,6356.0,2,1942,1,1,0,1,10.19,746961.0
4,4.0,2804,1809.0,2,1998,1,0,0,1,7.2,694464.0
5,5.0,4050,2469.0,1,1994,1,1,0,0,19.29,974140.0
4,4.0,3934,2282.0,1,2014,1,0,0,0,22.63,907499.0
4,4.0,3242,2686.0,2,1978,1,1,0,0,10.57,894186.0
4,5.0,3219,4307.0,2,2006,0,1,0,1,3.09,951639.0
2,2.0,1580,3395.0,2,1996,1,1,0,0,14.29,454839.0
4,4.0,3027,2381.0,1,2016,1,1,1,1,7.39,849443.0
3,3.0,1872,5884.0,1,1959,1,0,0,1,4.43,556865.0
5,5.0,3350,3404.0,2,1967,1,0,1,1,9.66,1015736.0
4,4.5,2905,3573.0,2,2000,0,1,0,1,2.42,911013.0
3,3.0,2382,8608.0,2,1968,0,0,0,1,9.19,755257.0
4,4.5,2499,3581.0,2,1965,1,0,0,1,2.26,737076.0
3,3.0,2847,2714.0,1,1937,1,0,0,1,0.58,837324.0
3,3.5,2609,6092.0,1,2006,0,0,1,1,8.43,782240.0
3,3.0,2001,1527.0,1,1902,0,0,0,1,12.31,641235.0
3,3.5,2247,3802.0,1,2020,1,1,1,1,11.2,628949.0
4,4.0,3546,5162.0,1,2013,1,0,0,1,8.09,953045.0
3,3.5,2043,3926.0,1,1968,1,0,0,1,6.46,626055.0
4,5.0,4089,3417.0,1,1982,1,1,0,1,6.24,1033127.0
4,5.0,3587,5248.0,2,1977,1,0,0,1,9.96,1006999.0
4,4.0,3594,4034.0,1,1982,1,0,1,0,24.1,811089.0
5,5.0,3919,2432.0,3,1910,1,0,0,0,22.99,890196.0
2,2.0,1590,7107.0,2,2023,0,1,1,1,2.72,627689.0
4,5.0,3010,2201.0,2,1962,1,1,0,1,8.55,855453.0
4,4.0,2488,3445.0,1,1955,1,0,0,1,8.12,663044.0
3,3.0,2109,3087.0,2,1994,1,0,0,0,20.04,570047.0
4,4.0,3001,5832.0,2,1951,1,1,0,0,14.87,759032.0
4,5.0,2833,2339.0,1,2007,1,1,0,1,8.62,839248.0
4,4.0,3000,6311.0,1,1970,1,0,0,0,16.32,817250.0
5,5.0,3606,1874.0,2,1986,1,1,0,1,4.86,1031654.0
4,4.0,3140,1881.0,1,1939,1,0,0,1,5.93,828917.0
4,5.0,3721,1829.0,1,1916,1,1,0,1,2.02,1034004.0
2,2.0,1918,1672.0,1,1987,1,0,0,1,3.49,602359.0
2,2.0,1701,2775.0,2,1945,1,1,0,0,13.14,474921.0
6,5.0,4767,5816.0,1,2011,1,0,0,1,5.91,1275135.0
3,3.5,2619,4369.0,1,1971,1,0,0,0,15.68,675564.0
2,2.5,2086,1596.0,2,2004,0,0,0,1,6.8,609002.0
2,3.0,2034,1663.0,1,1956,1,1,0,0,14.96,556938.0
3,3.0,2433,3873.0,3,2005,0,1,0,1,6.13,680646.0
3,3.0,2625,2065.0,1,2000,1,1,0,1,8.96,737473.0
3,3.0,2524,1614.0,2,1979,1,1,0,1,11.72,727457.0
3,3.0,2928,4429.0,2,2020,1,1,1,0,19.46,768321.0
3,4.0,2139,1729.0,1,1990,1,0,0,0,12.32,594719.0
4,5.0,2939,1890.0,2,1952,1,0,0,0,10.85,769552.0
4,4.0,2047,6180.0,2,1979,0,0,0,0,15.32,577711.0
2,3.0,1952,2392.0,2,1978,1,1,0,0,14.49,451778.0
4,4.5,3180,3041.0,1,1935,1,1,0,1,9.01,911465.0
2,3.0,1895,4262.0,1,1942,1,1,0,0,21.12,516391.0
3,3.0,1260,1919.0,1,2005,1,0,0,0,15.61,406333.0
3,3.5,2280,2444.0,2,1931,1,1,0,0,27.1,518197.0
3,4.0,2051,6032.0,2,1979,0,1,0,0,11.69,599255.0
3,3.5,2308,1960.0,1,1927,0,0,0,1,10.49,620778.0
4,4.0,3217,2901.0,1,2018,0,0,1,1,7.35,921241.0
3,3.0,2826,3271.0,1,2003,0,0,0,0,20.97,810781.0
